"Date","Total","Men, 20 years and over","Women, 20 years and over","16 to 19 years old","White","Black or African American","Asian","Hispanic or Latino",
"Jan 2015","59.3","68.1","55.4","28.3","60.1","54.6","60.1","62.1",
"Feb 2015","59.2","68.1","55.3","28.6","59.9","54.8","60.6","61.7",
"Mar 2015","59.2","68.1","55.2","28.6","59.8","55.0","60.4","61.7",
"Apr 2015","59.3","68.2","55.3","28.7","59.8","56.2","60.5","61.8",
"May 2015","59.4","68.3","55.4","28.8","60.0","55.8","61.1","61.8",
"Jun 2015","59.4","68.2","55.5","27.9","59.9","55.9","60.3","61.7",
"Jul 2015","59.3","68.3","55.3","28.2","59.9","55.9","60.2","61.4",
"Aug 2015","59.4","68.2","55.5","28.1","59.9","55.9","60.3","61.3",
"Sep 2015","59.2","68.1","55.2","28.2","59.8","55.7","59.9","61.3",
"Oct 2015","59.3","68.1","55.4","28.5","59.9","55.9","59.6","61.5",
"Nov 2015","59.4","67.9","55.6","28.6","59.9","55.8","60.7","61.3",
"Dec 2015","59.6","68.2","55.7","29.6","60.0","56.4","60.7","61.4",
"Jan 2016","59.7","68.4","55.7","29.4","60.3","56.1","60.1","61.9",
"Feb 2016","59.8","68.6","55.7","29.7","60.3","56.2","60.6","62.4",
"Mar 2016","59.8","68.7","55.8","29.4","60.4","56.0","60.8","62.6",
"Apr 2016","59.7","68.6","55.6","29.8","60.3","55.8","61.4","61.7",
"May 2016","59.7","68.4","55.7","29.8","60.3","56.1","60.7","61.9",
"Jun 2016","59.7","68.6","55.6","28.9","60.2","56.1","61.0","61.9",
"Jul 2016","59.8","68.5","55.7","29.9","60.3","56.1","61.2","62.3",
"Aug 2016","59.8","68.5","55.7","30.5","60.2","56.9","60.6","62.5",
"Sep 2016","59.7","68.4","55.7","29.9","60.1","56.7","61.0","61.9",
"Oct 2016","59.7","68.4","55.7","29.6","60.0","56.5","61.5","61.8",
"Nov 2016","59.7","68.4","55.7","29.8","60.1","57.0","61.0","61.8",
