"Date","Total","Total less foods, energy, and trade services","Goods","Foods","Energy","Goods less foods and energy","Services","Trade","Transportation and warehousing","Services less trade, transportation, and warehousing",
"Jan 2016","0.0","0.8","-2.4","-3.5","-11.1","0.0","1.2","1.1","-2.3","1.7",
"Feb 2016","0.1","0.9","-2.8","-2.0","-15.4","0.2","1.6","2.3","-2.0","1.7",
"Mar 2016","-0.1","0.9","-2.8","-2.5","-15.4","0.3","1.3","1.4","-1.9","1.8",
"Apr 2016","0.2","1.0","-2.0","-2.1","-12.3","0.6","1.2","1.6","-1.9","1.6",
"May 2016","0.0","1.0","-2.5","-2.5","-13.9","0.6","1.4","1.9","-2.5","1.5",
"Jun 2016","0.2","1.0","-2.2","-2.4","-11.6","0.5","1.5","2.2","-2.5","1.6",
"Jul 2016","0.0","1.0","-2.2","-2.6","-11.4","0.5","1.1","0.6","-1.9","1.7",
"Aug 2016","0.0","1.2","-1.9","-4.1","-10.0","0.8","1.0","0.3","-1.4","1.7",
"Sep 2016","0.6","1.3","-0.4","-3.1","-2.9","0.9","1.4","0.8","-1.8","1.9",
"Oct 2016","1.1","1.5","0.4","-3.2","0.5","1.2","1.6","1.3","-0.9","2.1",
"Nov 2016","1.3","1.8","0.5","-3.5","0.2","1.5","1.7","1.4","-0.4","2.2",
"Dec 2016","1.7","1.8","1.9","-1.6","6.3","1.7","1.6","1.0","1.1","2.0",
"Jan 2017","1.7","1.7","3.1","-2.1","13.7","2.0","1.1","0.4","1.0","1.5",
"Feb 2017","2.0","1.8","4.0","-1.4","19.2","2.1","1.0","-0.4","1.7","1.6",
"Mar 2017","2.2","1.8","4.1","0.6","15.3","2.4","1.3","0.9","0.6","1.5",
"Apr 2017","2.5","2.0","4.1","2.2","14.1","2.4","1.7","1.1","1.7","1.9",
"May 2017","2.3","2.1","2.9","1.0","7.9","2.2","2.0","1.7","2.0","2.2",
"Jun 2017","1.9","2.1","2.2","1.1","3.8","2.1","1.7","0.6","2.2","2.2",
"Jul 2017","2.0","2.0","2.3","1.6","3.9","2.0","1.9","1.6","1.3","2.1",
"Aug 2017","2.4","1.9","3.1","2.3","8.3","2.1","2.2","2.8","1.7","1.9",
"Sep 2017","2.6","2.1","3.4","1.6","10.7","2.2","2.1","2.1","3.5","1.9",
"Oct 2017","2.8","2.4","3.2","2.6","7.9","2.3","2.4","2.6","3.5","2.2",
"Nov 2017","3.0","2.4","4.2","3.2","12.5","2.4","2.3","2.1","3.9","2.3",
"Dec 2017","2.5","2.3","3.5","2.0","10.1","2.2","2.1","1.8","2.3","2.3",
"Jan 2018","2.6","2.5","3.2","1.9","8.7","2.1","2.2","1.4","2.3","2.6",
"Feb 2018","2.8","2.7","3.1","0.6","9.0","2.2","2.7","2.6","3.1","2.7",
"Mar 2018","2.9","2.9","3.3","1.9","8.6","2.3","2.8","1.8","4.9","3.0",
"Apr 2018","2.7","2.6","3.0","-0.6","9.4","2.2","2.5","1.7","4.5","2.5",
"May 2018","3.1","2.7","4.3","0.6","15.9","2.5","2.4","1.4","5.0","2.6",
"Jun 2018","3.3","2.7","4.4","-1.1","17.5","2.6","2.7","2.4","5.6","2.5",
"Jul 2018","3.4","3.0","4.4","-1.3","17.0","2.8","2.7","2.0","6.2","2.7",
"Aug 2018","3.0","3.0","3.9","-1.1","13.9","2.8","2.5","1.2","5.8","2.7",
