"Date","Number of unemployed persons per job opening",
"Jan 2015","1.7",
"Feb 2015","1.6",
"Mar 2015","1.6",
"Apr 2015","1.5",
"May 2015","1.6",
"Jun 2015","1.6",
"Jul 2015","1.3",
"Aug 2015","1.5",
"Sep 2015","1.4",
"Oct 2015","1.4",
"Nov 2015","1.4",
"Dec 2015","1.4",
"Jan 2016","1.3",
"Feb 2016","1.3",
"Mar 2016","1.3",
"Apr 2016","1.4",
"May 2016","1.3",
"Jun 2016","1.3",
"Jul 2016","1.3",
"Aug 2016","1.4",
"Sep 2016","1.4",
"Oct 2016","1.4",
"Nov 2016","1.3",
"Dec 2016","1.3",
"Jan 2017","1.3",
"Feb 2017","1.2",
"Mar 2017","1.2",
"Apr 2017","1.2",
"May 2017","1.2",
"Jun 2017","1.1",
"Jul 2017","1.1",
"Aug 2017","1.1",
"Sep 2017","1.1",
"Oct 2017","1",
"Nov 2017","1.1",
"Dec 2017","1",
"Jan 2018","1",
"Feb 2018","1",
"Mar 2018","0.9",
"Apr 2018","0.9",
"May 2018","0.9",
"Jun 2018","0.9",
"Jul 2018","0.9",
"Aug 2018","0.9",
"Sep 2018","0.8",
"Oct 2018","0.9",
"Nov 2018","0.8",
"Dec 2018","0.9",
"Jan 2019","0.9",
"Feb 2019","0.9",
"Mar 2019","0.8",
"Apr 2019","0.8",
"May 2019","0.8",
"Jun 2019","0.8",
"Jul 2019","0.9",
"Aug 2019","0.8",
"Sep 2019","0.8",
"Oct 2019","0.8",
"Nov 2019","0.9",
"Dec 2019","0.9",
"Jan 2020","0.8",
"Feb 2020","0.8",
"Mar 2020","1.2",
"Apr 2020","4.9",
"May 2020","3.8",
"Jun 2020","2.9",
"Jul 2020","2.5",
"Aug 2020","2.1",
"Sep 2020","1.9",
"Oct 2020","1.6",
"Nov 2020","1.6",
"Dec 2020","1.6",
"Jan 2021","1.4",
"Feb 2021","1.3",
"Mar 2021","1.2",
"Apr 2021","1",
"May 2021","0.9",
"Jun 2021","0.9",
"Jul 2021","0.8",
"Aug 2021","0.8",
"Sep 2021","0.7",
"Oct 2021","0.6",
"Nov 2021","0.6",
"Dec 2021","0.5",
"Jan 2022","0.6",
"Feb 2022","0.5",
"Mar 2022","0.5",
"Apr 2022","0.5",
"May 2022","0.5",
"Jun 2022","0.5",
"Jul 2022","0.5",
"Aug 2022","0.6",
"Sep 2022","0.5",
"Oct 2022","0.6",
"Nov 2022","0.6",
"Dec 2022","0.5",
"Jan 2023","0.5",
"Feb 2023","0.6",
"Mar 2023","0.6",
"Apr 2023","0.6",
